60
-1	0	16	169	527	7
-1	0	16	47	-5	129
-1	0	576	168	32	1
-1	0	640	168	32	1
-1	0	704	168	32	1
-1	0	768	168	35	1
-1	0	799	136	36	1
-1	0	832	104	128	1
-1	0	1024	168	64	1
-1	0	1216	104	32	1
-1	0	1280	104	96	1
-1	0	1408	136	35	1
-1	0	1440	104	36	1
-1	0	1472	71	64	1
-1	0	1600	168	16	1
-1	0	1664	168	16	1
-1	0	1727	168	17	1
-1	0	1792	167	256	5
-1	0	1120	168	287	7
-2	3	544	210	588	-4
-2	3	1132	206	1	2
-2	3	1408	209	397	-3
-4	4	544	192	584	9
-4	4	1408	192	393	9
-3	6	2048	37	-32	130
1	1	244	133	24	32
1	1	294	133	24	32
1	1	344	133	24	32
1	1	437	133	24	32
1	1	1444	70	24	32
1	1	1287	70	24	32
1	1	1478	37	24	32
1	1	1877	133	24	32
1	1	1960	132	24	32
2	1	219	150	24	15
2	1	901	85	24	15
2	1	936	85	24	15
2	1	1271	150	24	15
3	1	336	124	15	14
3	1	425	123	15	14
3	1	574	123	15	14
3	1	634	107	15	14
3	1	762	91	15	14
3	1	895	58	15	14
3	1	1149	123	15	14
3	1	1183	58	15	14
3	1	1325	58	15	14
3	1	1656	121	15	14
3	1	1853	123	15	14
4	1	551	48	17	25
4	1	709	52	17	25
4	1	1055	67	17	25
4	1	1564	65	17	25
4	1	1720	47	17	25
4	1	1982	45	17	25
5	1	626	137	16	13
6	1	805	102	24	32
6	1	1219	70	24	32
7	1	1369	134	16	32
-4	4	-435	-299	-15	-15
