0	0	0	6160	208	4	0
01	0	0	3080	104	4	0
011	0	0	1540	52	0	0
012	1540	0	1540	52	0	0
013	0	52	1540	52	4	0
0131	0	52	770	26	4	0
01311	0	52	385	13	4	0
013111	0	52	192	6	0	0
013112	192	52	192	6	0	0
013113	0	58	192	6	0	1	0
013114	192	58	192	6	0	0
01312	385	52	385	13	0	0
01313	0	65	385	13	4	0
013131	0	65	192	6	0	1	0
013132	192	65	192	6	0	0
013133	0	71	192	6	0	1	0
013134	192	71	192	6	0	0
01314	385	65	385	13	0	0
0132	770	52	770	26	0	0
0133	0	78	770	26	4	0
01331	0	78	385	13	4	0
013311	0	78	192	6	0	1	0
013312	192	78	192	6	0	0
013313	0	84	192	6	0	1	0
013314	192	84	192	6	0	0
01332	385	78	385	13	0	0
01333	0	91	385	13	4	0
013331	0	91	192	6	0	1	0
013332	192	91	192	6	0	0
013333	0	97	192	6	0	1	0
013334	192	97	192	6	0	0
01334	385	91	385	13	0	0
0134	770	78	770	26	4	0
01341	770	78	385	13	0	0
01342	1155	78	385	13	0	0
01343	770	91	385	13	4	0
013431	770	91	192	6	0	0
013432	962	91	192	6	0	0
013433	770	97	192	6	0	1	10
013434	962	97	192	6	0	0
01344	1155	91	385	13	0	0
014	1540	52	1540	52	0	0
02	3080	0	3080	104	0	0
03	0	104	3080	104	4	0
031	0	104	1540	52	4	0
0311	0	104	770	26	4	0
03111	0	104	385	13	4	0
031111	0	104	192	6	0	1	0
031112	192	104	192	6	0	0
031113	0	110	192	6	0	1	0
031114	192	110	192	6	0	0
03112	385	104	385	13	0	0
03113	0	117	385	13	4	0
031131	0	117	192	6	0	1	0
031132	192	117	192	6	0	0
031133	0	123	192	6	0	2	0	1
031134	192	123	192	6	0	0
03114	385	117	385	13	0	0
0312	770	104	770	26	4	0
03121	770	104	385	13	4	0
031211	770	104	192	6	0	1	10
031212	962	104	192	6	0	0
031213	770	110	192	6	0	1	10
031214	962	110	192	6	0	0
03122	1155	104	385	13	0	0
03123	770	117	385	13	0	0
03124	1155	117	385	13	0	0
0313	0	130	770	26	4	0
03131	0	130	385	13	4	0
031311	0	130	192	6	0	2	0	1
031312	192	130	192	6	0	3	14	15	16
031313	0	136	192	6	0	2	0	1
031314	192	136	192	6	0	3	14	15	16
03132	385	130	385	13	4	0
031321	385	130	192	6	0	1	17
031322	577	130	192	6	0	0
031323	385	136	192	6	0	1	17
031324	577	136	192	6	0	0
03133	0	143	385	13	4	0
031331	0	143	192	6	0	2	0	1
031332	192	143	192	6	0	3	14	15	16
031333	0	149	192	6	0	2	0	1
031334	192	149	192	6	0	3	14	15	16
03134	385	143	385	13	4	0
031341	385	143	192	6	0	1	17
031342	577	143	192	6	0	0
031343	385	149	192	6	0	1	17
031344	577	149	192	6	0	0
0314	770	130	770	26	4	0
03141	770	130	385	13	4	0
031411	770	130	192	6	0	1	9
031412	962	130	192	6	0	0
031413	770	136	192	6	0	1	9
031414	962	136	192	6	0	0
03142	1155	130	385	13	0	0
03143	770	143	385	13	4	0
031431	770	143	192	6	0	1	9
031432	962	143	192	6	0	0
031433	770	149	192	6	0	0
031434	962	149	192	6	0	0
03144	1155	143	385	13	0	0
032	1540	104	1540	52	0	0
033	0	156	1540	52	4	0
0331	0	156	770	26	4	0
03311	0	156	385	13	4	0
033111	0	156	192	6	0	2	0	1
033112	192	156	192	6	0	3	14	15	16
033113	0	162	192	6	0	2	0	1
033114	192	162	192	6	0	3	14	15	16
03312	385	156	385	13	4	0
033121	385	156	192	6	0	1	17
033122	577	156	192	6	0	0
033123	385	162	192	6	0	2	5	17
033124	577	162	192	6	0	4	5	6	7	8
03313	0	169	385	13	4	0
033131	0	169	192	6	0	3	0	1	2
033132	192	169	192	6	0	1	2
033133	0	175	192	6	0	2	1	2
033134	192	175	192	6	0	1	2
03314	385	169	385	13	4	0
033141	385	169	192	6	0	2	2	5
033142	577	169	192	6	0	4	5	6	7	8
033143	385	175	192	6	0	2	2	5
033144	577	175	192	6	0	4	5	6	7	8
0332	770	156	770	26	4	0
03321	770	156	385	13	4	0
033211	770	156	192	6	0	0
033212	962	156	192	6	0	0
033213	770	162	192	6	0	1	8
033214	962	162	192	6	0	1	11
03322	1155	156	385	13	4	0
033221	1155	156	192	6	0	0
033222	1347	156	192	6	0	0
033223	1155	162	192	6	0	0
033224	1347	162	192	6	0	0
03323	770	169	385	13	4	0
033231	770	169	192	6	0	1	8
033232	962	169	192	6	0	2	3	11
033233	770	175	192	6	0	1	8
033234	962	175	192	6	0	2	3	11
03324	1155	169	385	13	4	0
033241	1155	169	192	6	0	1	3
033242	1347	169	192	6	0	1	3
033243	1155	175	192	6	0	1	3
033244	1347	175	192	6	0	1	3
0333	0	182	770	26	0	0
0334	770	182	770	26	0	0
034	1540	156	1540	52	4	0
0341	1540	156	770	26	4	0
03411	1540	156	385	13	4	0
034111	1540	156	192	6	0	0
034112	1732	156	192	6	0	0
034113	1540	162	192	6	0	0
034114	1732	162	192	6	0	0
03412	1925	156	385	13	4	0
034121	1925	156	192	6	0	0
034122	2117	156	192	6	0	0
034123	1925	162	192	6	0	0
034124	2117	162	192	6	0	0
03413	1540	169	385	13	4	0
034131	1540	169	192	6	0	0
034132	1732	169	192	6	0	1	4
034133	1540	175	192	6	0	0
034134	1732	175	192	6	0	0
03414	1925	169	385	13	4	0
034141	1925	169	192	6	0	1	4
034142	2117	169	192	6	0	0
034143	1925	175	192	6	0	0
034144	2117	175	192	6	0	0
0342	2310	156	770	26	0	0
0343	1540	182	770	26	0	0
0344	2310	182	770	26	0	0
04	3080	104	3080	104	0	0
