13	385
16	16
25
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
2	3	3	4	3	3	3	4	5	4	5	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	5	4	5	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	23	24	25	26	27	22	22	22	22	22	22	22	22	22	23	24	25	26	27	22	22	22	22	22	22	22	22	28	29	22	22	22	22	22	22	22	22	22	22	22	22	22	23	24	25	26	27	22	22	22	22	22	22	22	22	22	22	22	22	28	29	22	22	22	22	22	22	22	23	24	25	26	27	22	22	22	22	22	22	22	22	22	23	24	25	26	27	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	23	24	25	26	27	22	22	22	22	22	22	28	29	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	23	24	25	26	27	22	22	22	22	22	22	22	22	28	29	22	30	31	32	33	34	35	36	37	0	38	39	40	41	42	43	44	45	46	0	0	47	48	49	50	0	51	52	53	54	55	56	57	58	59	60	61	62	63	0	64	65	66	67	68	69	63	70	71	72	73	74	
75	2	3	76	77	78	3	79	80	76	80	3	3	3	3	3	3	81	82	83	3	3	3	3	3	3	3	3	3	81	82	83	3	3	3	3	3	81	82	83	3	3	3	3	3	76	80	76	80	3	3	81	82	83	3	3	3	81	82	83	3	76	77	78	4	78	3	79	77	78	3	3	3	3	3	81	82	83	3	3	3	3	3	81	82	83	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	81	83	3	3	3	81	82	83	3	3	3	3	81	83	3	3	3	3	3	81	82	83	0	84	85	86	87	88	89	90	91	92	93	94	95	96	97	0	21	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	98	99	100	101	102	22	22	22	22	22	22	22	22	22	98	99	100	101	102	22	22	22	22	22	22	22	103	104	105	22	22	22	22	22	22	22	22	22	22	22	22	22	98	99	100	101	102	22	22	22	22	22	22	22	22	22	22	22	103	104	105	22	22	22	22	22	22	22	98	99	100	101	102	22	22	22	22	22	22	22	22	22	98	99	100	101	102	22	22	22	22	22	22	22	22	22	106	107	108	22	22	22	22	22	22	22	22	22	22	22	22	22	98	99	100	101	102	22	22	22	22	22	103	104	105	22	22	22	22	22	22	22	22	22	106	107	108	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	98	99	100	101	102	22	22	22	22	22	22	22	103	104	105	22	30	109	110	111	112	113	114	115	0	116	117	118	119	120	121	122	123	0	0	0	124	125	113	126	0	127	128	129	130	131	132	133	134	0	135	136	137	138	64	139	140	141	142	143	144	138	0	0	145	146	147	
75	148	3	149	150	151	152	153	152	153	152	3	3	3	3	3	3	154	154	155	154	3	156	157	154	155	156	157	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	149	152	153	152	3	3	3	3	3	3	3	3	3	3	3	3	149	150	151	150	151	152	153	150	151	152	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	158	159	159	159	3	3	3	3	3	154	154	155	156	157	154	3	3	154	154	3	154	155	156	157	3	3	3	3	3	3	3	3	3	3	3	3	0	84	160	86	161	162	163	164	165	166	167	168	169	170	171	0	21	22	22	22	22	22	22	22	22	28	29	22	22	22	22	22	22	22	22	22	22	22	22	28	29	22	22	22	22	22	22	22	22	22	22	22	172	173	174	174	174	174	174	174	174	175	176	22	22	22	22	22	22	22	22	28	29	22	22	22	22	22	22	22	22	22	22	22	177	178	174	174	174	175	176	22	172	173	174	174	174	175	176	22	22	22	22	22	22	22	22	22	22	28	29	22	22	22	22	22	172	173	174	174	174	174	174	174	174	175	176	22	23	24	25	26	27	22	177	178	174	175	176	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	23	24	25	26	27	22	22	22	22	22	22	22	22	22	23	24	25	26	27	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	30	31	32	111	179	113	114	180	181	182	183	184	185	186	187	188	189	0	0	0	190	125	113	191	192	193	194	195	196	197	198	199	200	0	201	202	203	204	205	206	207	204	208	209	210	64	211	71	212	213	214	
215	216	3	153	217	218	219	153	219	153	219	3	81	83	3	3	156	220	221	221	221	222	220	223	221	221	220	223	157	3	3	3	3	3	81	83	3	3	3	3	3	3	3	3	3	153	219	153	219	3	3	3	3	3	3	3	3	3	3	3	3	153	217	218	217	218	219	153	217	218	219	3	81	83	3	3	3	3	3	3	3	3	3	3	3	3	81	83	3	3	3	3	224	225	225	226	3	81	82	83	156	220	221	221	220	223	221	157	156	220	221	222	221	221	220	223	157	3	3	81	82	83	3	3	3	3	3	3	0	227	228	229	230	231	232	233	234	235	236	237	238	239	240	0	21	22	106	107	108	22	22	22	103	104	105	22	22	22	22	22	22	22	22	22	22	22	103	104	105	22	22	22	22	22	22	22	22	22	22	22	30	241	242	243	244	243	244	243	244	243	245	22	106	107	108	22	22	22	103	104	105	22	22	22	22	22	22	22	22	22	22	22	246	247	244	243	244	243	245	22	30	241	242	243	244	248	249	22	22	22	22	22	22	22	22	22	103	104	105	22	22	22	22	22	30	241	242	243	244	243	244	243	244	243	245	22	98	99	100	101	102	22	246	247	244	243	245	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	106	107	108	22	22	22	22	22	98	99	100	101	102	22	22	22	22	22	22	22	22	22	98	99	100	101	102	22	22	22	22	22	22	22	22	22	22	22	22	22	106	107	108	22	22	22	22	22	30	109	110	250	251	252	253	254	255	256	257	258	259	260	261	262	263	0	0	0	264	265	266	267	268	269	270	271	272	273	274	275	276	0	277	278	279	0	207	280	0	0	207	141	281	282	207	0	145	146	147	
283	216	3	153	284	217	285	153	285	153	285	3	3	3	3	286	287	288	287	288	287	288	288	289	287	288	288	289	287	290	3	3	3	3	3	154	154	155	156	157	3	155	3	3	3	153	285	153	285	3	3	3	158	159	159	159	159	159	159	159	3	153	284	217	284	217	285	153	284	217	285	3	3	3	3	3	158	159	3	3	158	159	159	159	159	159	3	3	3	3	158	159	224	225	225	226	3	3	3	286	287	288	287	288	288	289	287	288	288	289	287	288	287	288	288	289	287	290	3	3	3	154	154	155	3	155	156	157	0	0	291	292	293	294	0	0	0	295	0	296	297	0	0	0	21	22	23	24	25	26	27	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	172	173	174	174	174	174	174	174	174	174	298	31	299	300	299	300	299	300	299	301	249	22	23	24	25	26	27	22	22	22	22	22	172	302	176	22	22	28	29	22	303	304	305	306	299	300	299	301	249	22	30	31	299	300	299	301	307	174	174	174	174	174	174	174	174	174	174	174	174	174	174	174	174	174	298	31	299	300	299	300	299	300	299	301	249	22	22	22	22	22	303	304	305	306	299	301	249	22	22	22	22	22	22	22	22	22	22	22	172	173	174	174	174	175	176	22	23	24	25	26	27	22	22	22	22	22	22	22	22	22	22	22	22	28	29	22	22	22	22	22	22	22	22	22	172	173	174	174	174	174	174	174	174	175	176	22	23	24	25	26	27	22	22	22	30	31	32	0	0	308	309	310	0	0	0	311	0	312	313	314	0	0	0	0	0	315	316	317	0	0	0	318	0	319	320	321	0	0	201	322	323	64	324	204	208	64	139	324	325	324	326	71	212	213	214	
283	327	328	329	330	331	332	331	332	331	333	334	328	329	329	335	336	335	336	335	336	335	330	336	336	335	330	336	336	335	333	329	333	334	286	288	287	287	288	288	337	287	290	3	328	329	332	331	333	334	3	3	224	225	225	225	225	225	225	226	328	329	330	331	330	331	332	331	330	331	333	334	328	329	333	334	224	226	3	3	224	225	225	225	225	226	3	3	3	3	224	226	224	225	225	226	328	329	329	335	336	335	336	335	330	336	336	335	330	336	336	335	336	335	330	336	336	335	333	334	286	288	287	287	337	287	288	288	0	0	338	339	340	341	0	0	0	342	343	344	345	0	0	0	21	22	98	99	100	101	102	22	22	22	22	22	106	107	108	22	22	22	22	22	22	22	22	22	22	22	30	241	242	243	244	243	244	243	244	243	346	299	300	299	300	299	300	299	300	347	249	22	98	99	100	101	102	22	22	22	22	22	30	348	245	22	103	104	105	22	22	22	246	349	300	299	300	347	249	22	30	109	300	299	300	299	350	243	244	243	244	243	244	243	244	243	244	243	244	243	244	243	244	243	346	299	300	299	300	299	300	299	300	347	249	22	22	22	22	22	22	22	246	349	300	347	249	22	22	22	22	22	22	22	22	22	22	22	30	241	242	243	244	243	245	22	98	99	100	101	102	22	22	22	22	22	22	22	22	22	22	22	103	104	105	22	22	22	22	22	22	22	22	22	30	241	242	243	244	243	244	243	244	243	245	22	98	99	100	101	102	22	22	22	351	352	110	0	353	354	355	356	357	0	0	358	359	360	361	362	0	0	0	0	363	364	365	366	367	0	0	368	369	370	371	372	0	0	277	278	279	0	207	0	373	139	140	280	0	280	0	0	145	146	147	
374	375	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	158	159	224	225	225	225	225	225	225	226	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	377	378	376	376	224	225	225	225	225	226	376	376	158	159	377	378	224	225	225	226	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	376	0	0	379	380	381	382	0	0	0	383	384	385	386	387	0	0	21	22	22	22	22	22	22	22	22	22	22	22	23	24	25	26	388	173	174	174	174	174	174	174	174	174	298	31	299	300	299	300	299	300	299	300	299	300	299	300	299	300	299	300	299	301	249	22	22	22	22	22	22	22	172	302	176	22	30	389	249	22	22	22	22	22	22	22	246	306	299	300	299	300	390	22	391	300	299	300	392	173	174	175	393	300	299	300	299	300	299	300	392	173	174	175	393	300	299	300	299	300	299	300	299	300	299	300	299	394	395	104	396	397	103	104	398	104	399	306	299	301	400	104	401	302	402	397	172	173	174	174	174	174	298	31	299	300	299	301	249	22	22	22	22	22	172	173	174	175	176	22	22	22	22	22	172	173	174	174	174	175	176	22	22	22	172	173	174	174	298	31	299	300	299	300	299	300	299	301	249	22	22	22	22	22	22	22	22	22	403	404	405	0	406	407	408	409	410	0	0	411	412	413	414	415	0	0	0	0	416	417	418	419	420	0	0	421	422	423	424	424	0	0	60	425	426	427	64	324	325	206	280	204	205	324	70	71	212	213	214	
428	375	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	224	226	224	225	225	225	225	225	225	226	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	224	226	429	429	224	225	225	225	225	226	429	429	224	226	224	226	224	225	225	226	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	0	0	0	430	431	432	433	434	0	435	436	437	438	439	0	0	21	22	22	22	22	22	22	22	22	22	22	22	98	99	100	101	440	241	242	243	244	243	244	243	244	243	346	299	300	299	300	299	300	299	300	299	300	299	300	299	300	299	300	299	300	347	249	22	22	22	22	22	22	22	30	348	245	22	30	389	249	22	22	22	22	22	22	22	441	349	300	299	300	299	442	22	443	299	300	299	444	445	446	446	447	299	300	299	300	299	300	299	444	445	446	446	447	299	300	299	300	299	300	299	300	299	300	299	448	449	450	450	451	452	453	450	450	450	454	349	300	347	455	450	456	348	457	452	458	241	242	243	244	243	346	299	300	299	300	347	249	22	22	22	22	22	30	241	242	248	249	22	22	22	22	22	30	241	242	243	244	248	249	22	22	22	30	241	242	243	346	299	300	299	300	299	300	299	300	347	249	22	22	22	22	22	22	22	22	22	403	404	405	0	0	459	460	461	462	463	0	464	465	466	467	468	0	0	0	0	0	469	470	471	472	473	0	474	475	476	477	477	0	0	135	478	479	480	481	280	0	482	481	0	207	482	481	0	145	146	147	
